english	translation	category	sub_category	source
Barbarian Assault	野蛮人突袭	manual	activity	
Blast Furnace	高炉	manual	activity	
Castle Wars	城堡战争	manual	activity	
Fishing Trawler	捕鱼拖网	manual	activity	
Burthorpe Games Room	伯索普游戏室	manual	activity	
Nightmare Zone	噩梦地带	manual	activity	
Pest Control	虫害治理	manual	activity	
Rat Pits	鼠坑	manual	activity	
Shades of Mort'ton	莫顿镇的阴影	manual	activity	
Trouble Brewing	酿酒大战	manual	activity	
TzHaar Fight Pit	特扎尔战斗坑	manual	activity	
Shield of Arrav	阿拉夫之盾	manual	activity	
Clan Wars	氏族战争	manual	activity	
Giants' Foundry	巨人铸造厂	manual	activity	
God Wars	神战	manual	activity	
Guardians of the Rift	裂隙守护者	manual	activity	
Dagannoth Kings	深潜者之王	manual	activity	
Player Owned Houses	玩家的房屋	manual	activity	
Tithe Farm	什一税农场	manual	activity	
Last Man Standing	最后幸存者	manual	activity	
Volcanic Mine	火山矿场	manual	activity	
Theatre of Blood	血腥剧场	manual	activity	
Soul Wars	灵魂战争	manual	activity	
Shooting Stars	流星	manual	activity	
Tombs of Amascut	阿玛斯库特之墓	manual	activity	
Mage Training Arena	法师训练场	manual	activity	
Yes	是	manual	emote	
No	否	manual	emote	
Bow	鞠躬	manual	emote	
Angry	愤怒	manual	emote	
Think	思考	manual	emote	
Wave	挥手	manual	emote	
Shrug	耸肩	manual	emote	
Cheer	欢呼	manual	emote	
Beckon	招手	manual	emote	
Laugh	大笑	manual	emote	
Jump for Joy	欣喜跳跃	manual	emote	
Yawn	打哈欠	manual	emote	
Dance	舞蹈	manual	emote	
Jig	吉格舞	manual	emote	
Spin	旋转	manual	emote	
Headbang	甩头	manual	emote	
Cry	哭泣	manual	emote	
Blow Kiss	飞吻	manual	emote	
Panic	恐慌	manual	emote	
Raspberry	吐舌	manual	emote	
Clap	拍手	manual	emote	
Salute	敬礼	manual	emote	
Goblin Bow	哥布林式鞠躬	manual	emote	
Goblin Salute	哥布林式敬礼	manual	emote	
Glass Box	玻璃箱	manual	emote	
Climb Rope	爬绳	manual	emote	
Lean	倚靠	manual	emote	
Glass Wall	玻璃墙	manual	emote	
Idea	主意	manual	emote	
Stamp	跺脚	manual	emote	
Flap	振翅	manual	emote	
Slap Head	拍头	manual	emote	
Zombie Walk	僵尸行走	manual	emote	
Zombie Dance	僵尸舞	manual	emote	
Scared	害怕	manual	emote	
Rabbit Hop	兔子跳	manual	emote	
Skill Cape	技能斗篷	manual	emote	
Zombie Hand	僵尸手	manual	emote	
Air Guitar	空气吉他	manual	emote	
Sit up	仰卧起坐	manual	emote	
Push up	俯卧撑	manual	emote	
Star jump	开合跳	manual	emote	
Jog	慢跑	manual	emote	
Flex	屈臂	manual	emote	
Hypermobile Drinker	超灵活的饮酒者	manual	emote	
Uri transform	乌里变身	manual	emote	
Smooth dance	流畅的舞蹈	manual	emote	
